customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1040,Male,0,Yes,No,10,No,No phone service,DSL,Yes,No internet service,No internet service,No,No,Yes,Two year,Yes,Mailed check,28.12,218.73,No
C1041,Male,0,No,Yes,67,Yes,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),67.68,4503.09,No
C1042,Female,1,Yes,Yes,7,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,116.41,812.14,Yes
C1043,Female,0,No,No,48,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.79,3435.81,No
C1044,Female,0,Yes,No,23,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,51.19,1213.78,No
C1045,Female,0,No,No,32,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,Two year,No,Mailed check,110.44,3604.76,No
C1046,Female,0,No,Yes,18,Yes,Yes,DSL,No internet service,Yes,No,No,No,No,One year,No,Mailed check,80.56,1491.89,No
C1047,Male,0,No,Yes,1,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,112.86,219.14,No
C1048,Female,0,No,No,54,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No,Month-to-month,Yes,Electronic check,116.45,6277.37,No
C1049,Female,0,Yes,No,10,No,No,DSL,Yes,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,113.54,1197.74,No
C1050,Male,0,Yes,No,16,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),88.6,1345.72,No
C1051,Female,0,No,No,41,Yes,No phone service,DSL,Yes,Yes,No,No,Yes,No internet service,One year,Yes,Electronic check,69.19,2863.07,No
C1052,Male,0,Yes,No,60,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,One year,Yes,Credit card (automatic),47.6,2860.85,No
C1053,Female,1,No,No,2,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),114.02,219.73,Yes
C1054,Male,0,No,No,34,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),73.59,2497.93,No
C1055,Female,1,Yes,No,65,Yes,No,No,No,No,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),119.53,7766.13,No
C1056,Female,0,Yes,No,0,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),111.67,16.17,No
C1057,Male,0,No,No,6,Yes,Yes,DSL,Yes,No,Yes,No,No internet service,No internet service,One year,No,Bank transfer (automatic),56.63,331.77,No
C1058,Male,0,Yes,No,19,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),107.29,2082.77,Yes
C1059,Male,0,No,No,42,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,72.54,2983.14,No
C1060,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),93.75,486.67,No
C1061,Male,0,Yes,Yes,54,Yes,Yes,No,Yes,Yes,Yes,No,No internet service,No,Two year,Yes,Electronic check,67.06,3639.41,No
C1062,Male,0,Yes,No,20,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,No,Two year,Yes,Mailed check,118.92,2370.37,No
C1063,Male,0,Yes,Yes,50,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,58.69,2960.4,No
C1064,Male,0,Yes,Yes,45,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,No internet service,One year,Yes,Mailed check,27.77,1169.51,No
C1065,Female,0,No,No,34,No,No,No,No,No,No,No,No internet service,No,Month-to-month,Yes,Mailed check,105.54,3584.69,No
C1066,Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),95.13,645.93,No
C1067,Male,0,Yes,No,67,Yes,No,DSL,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),30.87,2107.9,No
C1068,Female,0,No,No,15,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),69.49,1069.43,No
C1069,Female,1,No,No,66,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,87.22,5780.33,Yes
C1070,Female,0,No,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Mailed check,59.8,4220.65,No
C1071,Female,1,Yes,No,63,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,No,Electronic check,110.69,6881.97,No
C1072,Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,No,Mailed check,114.2,134.17,No
C1073,Female,0,No,No,0,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,106.59,65.96,Yes
C1074,Male,0,No,No,57,Yes,No,DSL,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),72.14,4120.67,Yes
C1075,Female,0,No,Yes,0,Yes,No,DSL,No,Yes,No internet service,No,No internet service,Yes,One year,No,Electronic check,64.26,0.0,Yes
C1076,Female,1,No,Yes,6,Yes,Yes,No,No internet service,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),77.67,466.4,No
C1077,Female,0,Yes,No,68,Yes,Yes,DSL,No,No internet service,No,Yes,No,No,Month-to-month,No,Credit card (automatic),70.74,4802.8,No
C1078,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,28.07,483.55,Yes
C1079,Female,0,Yes,No,31,No,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,98.38,3031.07,No
C1080,Male,0,Yes,No,44,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),113.99,5114.41,No
C1081,Female,1,Yes,No,32,Yes,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),68.05,2174.0,No
C1082,Male,0,No,No,72,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),24.28,1788.77,No
C1083,Female,0,Yes,No,48,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,50.93,2436.89,Yes
C1084,Male,0,No,Yes,32,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.5,971.37,No
C1085,Male,0,No,No,70,Yes,Yes,No,Yes,No internet service,No,Yes,No,No,One year,Yes,Mailed check,118.0,8298.53,No
C1086,Female,0,No,No,67,No,No,Fiber optic,No internet service,No,Yes,No internet service,No,No,One year,No,Credit card (automatic),31.97,2156.0,No
C1087,Male,0,Yes,No,27,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,26.22,710.93,No
C1088,Female,0,No,No,52,Yes,No,DSL,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Credit card (automatic),71.24,3692.33,Yes
C1089,Female,0,Yes,Yes,43,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,24.63,1069.78,No
C1090,Female,0,No,Yes,54,Yes,Yes,No,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Electronic check,82.67,4470.16,Yes
C1091,Female,0,Yes,Yes,9,No,No phone service,No,Yes,No internet service,Yes,No,Yes,Yes,Two year,Yes,Mailed check,106.64,922.75,No
C1092,Female,0,No,No,13,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,No internet service,One year,No,Electronic check,43.54,589.62,No
C1093,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,Two year,Yes,Bank transfer (automatic),112.57,3971.39,No
C1094,Female,0,No,No,33,Yes,No,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,One year,Yes,Electronic check,83.9,2822.76,Yes
C1095,Female,0,No,No,17,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),34.58,608.29,No
C1096,Female,0,No,No,15,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,83.73,1251.65,Yes
C1097,Female,0,No,No,36,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),25.42,860.66,No
C1098,Female,0,Yes,Yes,40,Yes,No,DSL,No internet service,Yes,No,Yes,No,No,One year,No,Credit card (automatic),53.65,2120.38,No
C1099,Male,0,Yes,Yes,24,Yes,No phone service,DSL,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),19.63,492.92,No
C1100,Male,0,Yes,No,7,Yes,No,DSL,No internet service,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),63.04,405.99,No
C1101,Female,0,No,No,17,No,Yes,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,One year,No,Mailed check,102.87,1639.25,No
C1102,Female,0,No,No,67,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,Yes,One year,No,Electronic check,89.13,6017.05,No
C1103,Female,0,No,No,47,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,38.28,1800.01,No
C1104,Female,0,No,No,69,Yes,No,DSL,Yes,No,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.63,2519.26,Yes
C1105,Female,0,No,Yes,66,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),89.83,5902.44,Yes
C1106,Female,0,No,Yes,17,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),85.95,1471.13,No
C1107,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,32.51,550.48,No
C1108,Female,0,Yes,No,55,No,No,Fiber optic,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Credit card (automatic),86.55,4737.26,No
C1109,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,Two year,Yes,Bank transfer (automatic),97.64,2203.26,No
C1110,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,96.16,3205.63,No
C1111,Male,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,No,Two year,No,Electronic check,59.37,205.99,No
C1112,Female,0,Yes,No,25,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,101.04,2575.18,No
C1113,Female,0,Yes,No,60,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),57.76,3477.4,No
C1114,Male,0,Yes,Yes,14,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,83.86,1136.67,No
C1115,Female,0,No,Yes,31,Yes,No,DSL,No internet service,No internet service,Yes,No,No,No internet service,One year,No,Electronic check,95.55,2922.32,No
C1116,Male,0,No,Yes,11,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),95.06,1045.36,No
C1117,Female,0,No,No,4,Yes,No,DSL,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),53.39,227.36,Yes
C1118,Female,1,No,Yes,63,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),76.22,4851.19,Yes
C1119,Male,0,No,No,70,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,80.62,5672.91,No
C1120,Female,0,No,Yes,26,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Two year,No,Electronic check,41.95,1072.5,No
C1121,Male,1,No,Yes,44,Yes,Yes,No,No,No,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),18.84,828.56,Yes
C1122,Female,0,Yes,No,34,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),28.13,981.73,No
C1123,Male,1,Yes,No,25,Yes,No phone service,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,21.53,614.27,No
C1124,Male,0,No,Yes,22,Yes,No,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,48.46,1077.78,Yes
C1125,Female,1,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),51.25,629.65,No
C1126,Female,0,Yes,No,2,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,106.33,188.13,Yes
C1127,Male,0,Yes,No,28,No,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),30.74,855.09,No
C1128,Female,0,Yes,No,65,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,Two year,Yes,Electronic check,36.88,2415.3,No
C1129,Female,0,Yes,No,63,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,81.24,5119.99,No
C1130,Female,0,No,No,27,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,65.85,1779.37,No
C1131,Male,0,Yes,Yes,35,Yes,No phone service,DSL,No,Yes,No internet service,No,No,No,Two year,No,Mailed check,119.31,4111.08,No
C1132,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,Yes,Credit card (automatic),95.72,485.89,Yes
C1133,Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),45.57,519.88,No
C1134,Male,0,No,Yes,37,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),91.6,3458.32,No
C1135,Male,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,41.29,1428.29,Yes
C1136,Male,1,No,Yes,66,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,87.52,5714.0,No
C1137,Male,0,No,No,45,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,21.73,1027.84,No
C1138,Male,1,No,No,28,No,No,Fiber optic,No internet service,No,No internet service,Yes,No,No,Two year,No,Credit card (automatic),38.36,1114.91,No
C1139,Male,0,No,No,59,Yes,No,DSL,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,28.47,1781.48,No
C1140,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,61.75,3294.1,Yes
C1141,Male,0,No,No,68,No,No,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,74.45,5079.59,No
C1142,Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),44.46,369.45,No
C1143,Female,0,No,No,9,Yes,Yes,No,No,No,No internet service,No,No,Yes,Two year,No,Electronic check,117.81,1172.7,No
C1144,Female,0,No,No,67,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,No,Electronic check,59.88,4003.47,No
C1145,Male,0,Yes,No,57,Yes,No,No,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Mailed check,75.3,4348.55,No
C1146,Male,1,No,No,51,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),65.28,3310.92,Yes
C1147,Male,0,No,No,33,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.04,3498.45,No
C1148,Male,0,No,No,34,Yes,No,No,No,Yes,No,No,No,No,One year,Yes,Electronic check,55.81,1891.43,No
C1149,Female,0,No,No,32,Yes,No,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),114.2,3617.24,No
C1150,Male,0,No,No,71,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,Yes,Two year,Yes,Electronic check,100.11,7160.48,No
C1151,Male,0,No,Yes,31,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,One year,Yes,Credit card (automatic),25.72,870.73,Yes
C1152,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,108.1,5900.1,No
C1153,Male,0,No,Yes,7,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,36.52,268.53,Yes
C1154,Male,0,Yes,No,45,Yes,No,No,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,24.07,1153.21,Yes
C1155,Female,0,Yes,No,13,Yes,No phone service,No,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,40.61,467.18,No
C1156,Male,0,No,Yes,7,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,26.69,254.84,No
C1157,Female,1,Yes,Yes,70,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),81.46,5763.95,No
C1158,Male,0,No,No,53,Yes,No,No,Yes,No,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,63.64,3424.94,No
C1159,Female,0,Yes,No,20,Yes,Yes,DSL,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,66.43,1358.52,Yes
C1160,Male,0,No,No,13,Yes,Yes,DSL,No internet service,Yes,No,No,No,Yes,One year,No,Credit card (automatic),80.89,1099.11,No
C1161,Male,1,Yes,No,1,Yes,No,Fiber optic,No internet service,No,No,No,No,No internet service,Two year,Yes,Mailed check,68.84,82.53,No
C1162,Female,0,Yes,No,60,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,One year,No,Electronic check,119.14,7168.9,No
C1163,Female,0,No,No,16,Yes,Yes,DSL,Yes,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,81.62,1302.79,Yes
C1164,Female,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),77.79,3650.04,Yes
C1165,Male,0,Yes,Yes,7,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,60.27,380.82,Yes
C1166,Female,0,Yes,No,55,No,No phone service,DSL,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),63.53,3425.79,No
C1167,Male,0,Yes,No,16,No,No,DSL,No,No,No internet service,No,Yes,Yes,One year,No,Credit card (automatic),118.93,2007.45,Yes
C1168,Male,0,Yes,No,68,Yes,No,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,18.56,1229.08,No
C1169,Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,No,Electronic check,33.86,336.76,No
C1170,Female,0,Yes,No,37,Yes,No,Fiber optic,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),52.99,2023.18,Yes
C1171,Male,0,Yes,Yes,17,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,110.25,2002.12,Yes
C1172,Male,0,No,No,25,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,113.67,2906.68,Yes
C1173,Female,0,No,Yes,36,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),23.88,887.93,Yes
C1174,Female,1,No,Yes,69,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),32.45,2200.59,Yes
C1175,Female,0,Yes,Yes,40,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),107.99,4396.41,No
C1176,Male,0,Yes,No,41,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),45.77,1883.16,Yes
C1177,Male,0,Yes,No,40,No,No,DSL,Yes,No,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),58.91,2272.81,No
C1178,Male,0,Yes,No,46,Yes,Yes,No,Yes,No internet service,No,Yes,No,Yes,Two year,No,Electronic check,18.47,834.96,No
C1179,Male,0,No,No,13,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No,One year,No,Credit card (automatic),68.13,937.77,No
